Pays;Mammifères;Oiseaux;Reptiles;Amphibiens;Poissons;Mollusques;Autres_invertébrés;Plantes;Champignons et protistes;Total;Continent
Afghanistan;11;16;1;1;4;0;2;5;0;40;Asia
Albania;3;8;5;2;44;50;21;4;0;137;Europe
Algeria;14;15;8;3;41;11;29;22;0;143;Africa
American Samoa;1;8;6;0;12;5;60;1;0;93;Oceania
Andorra;2;3;1;0;0;3;5;0;0;14;Europe
Angola;18;32;7;0;53;7;4;34;0;155;Africa
Anguilla;1;0;9;0;32;0;10;4;0;56;North & Central America
Antarctica;2;4;0;0;0;0;0;0;0;6;Africa
Antigua and Barbuda;2;3;7;0;31;0;11;4;0;58;North & Central America
Argentina;38;52;26;30;42;0;14;70;1;273;South America
Armenia;9;14;7;0;3;2;7;74;0;116;Asia
Aruba;2;2;2;0;24;1;1;2;0;34;North & Central America
Australia;63;52;75;47;125;174;360;108;1;1005;Oceania
Austria;3;13;1;0;11;43;31;17;8;127;Europe
Azerbaijan;8;17;9;1;14;2;5;44;0;100;Asia
Bahamas;5;10;11;0;43;1;11;7;0;88;North & Central America
Bahrain;3;7;4;0;14;0;13;0;0;41;Asia
Bangladesh;37;36;23;1;29;0;7;23;0;156;Asia
Barbados;3;4;7;0;29;0;11;3;0;57;North & Central America
Belarus;4;9;0;0;2;3;7;1;0;26;Asia
Belgium;2;8;0;0;13;6;9;0;1;39;Europe
Belize;10;6;8;3;45;0;12;46;0;130;North & Central America
Benin;13;12;7;0;40;2;1;20;0;95;Africa
Bermuda;4;3;4;0;27;0;28;8;0;74;North & Central America
Bhutan;25;21;3;1;3;0;1;43;0;97;Asia
Bolivia;21;55;11;35;8;2;1;106;0;239;South America
Bonaire;3;2;6;0;32;0;11;3;0;57;North & Central America
Bosnia and Herzegovina;4;7;3;1;36;18;24;3;0;96;Europe
Botswana;11;16;1;0;2;0;0;3;0;33;Africa
Bouvet Island;1;1;0;0;1;0;0;0;0;3;Africa
Brazil;80;175;30;35;93;22;34;558;0;1027;South America
British Indian Ocean Territory;0;1;2;0;13;0;69;1;0;86;Asia
Brunei;33;31;8;2;14;0;9;127;0;224;Asia
Bulgaria;8;17;2;0;22;32;25;9;0;115;Europe
Burkina Faso;9;12;3;0;4;1;0;4;0;33;Africa
Burundi;14;15;0;1;17;3;3;89;0;142;Africa
Cape Verde;4;7;6;0;35;13;0;51;0;116;Africa
Cambodia;39;31;21;9;48;1;78;37;0;264;Asia
Cameroon;46;29;13;56;122;13;12;555;0;846;Africa
Canada;18;24;6;1;44;17;20;18;7;155;North & Central America
Cayman Islands;1;3;7;0;31;1;10;22;0;75;North & Central America
Central African Republic;16;16;5;0;3;0;0;26;0;66;Africa
Chad;16;16;5;0;1;4;0;6;0;48;Africa
Chile;19;35;25;29;27;1;12;73;0;221;South America
China;73;96;43;87;136;15;61;593;1;1105;Asia
Christmas Island;2;4;3;0;11;0;19;1;0;40;Oceania
Cocos Islands;2;1;1;0;11;0;20;0;0;35;Oceania
Colombia;58;126;35;222;99;4;49;268;0;861;South America
Comoros;5;14;5;0;11;0;76;9;0;120;Africa
Republic of Congo;15;7;6;1;57;7;0;46;0;139;Africa
Democratic Republic of the Congo;32;42;9;11;94;44;10;148;0;390;Africa
Cook Islands;1;16;3;0;11;0;32;11;0;74;Oceania
Costa Rica;11;27;12;61;64;1;30;143;0;349;North & Central America
Ivory Coast;31;25;8;14;59;5;2;118;0;262;Africa
Croatia;9;14;4;2;64;49;30;8;1;181;Europe
Cuba;10;19;24;49;44;0;23;179;0;348;North & Central America
Curacao;3;2;5;0;28;0;11;2;0;51;North & Central America
Cyprus;6;7;5;0;24;5;10;22;0;79;Asia
Czech Republic;3;9;0;0;2;6;23;26;5;74;Europe
Denmark;2;9;0;0;18;5;11;1;3;49;Europe
Disputed Territory;0;0;0;0;7;0;1;0;0;8;Asia
Djibouti;11;12;1;0;23;1;56;3;0;107;Africa
Dominica;3;7;3;2;31;0;11;12;0;69;North & Central America
Dominican Republic;7;17;47;32;29;0;16;47;0;195;North & Central America
Ecuador;47;106;63;159;61;49;21;1859;7;2372;South America
Egypt;18;14;13;0;58;0;56;8;0;167;Africa
El Salvador;6;7;10;9;17;0;10;33;0;92;North & Central America
Equatorial Guinea;23;6;8;4;44;2;2;98;0;187;Africa
Eritrea;15;21;7;0;29;1;57;6;0;136;Africa
Estonia;1;9;0;0;5;4;3;0;2;24;Europe
Swaziland;9;13;1;0;5;0;0;13;0;41;Africa
Ethiopia;34;35;3;12;14;4;11;64;0;177;Africa
Falkland Islands;4;8;0;0;5;0;0;5;0;22;South America
Faroe Islands;4;6;0;0;13;0;0;0;1;24;Europe
Fiji;7;14;15;1;20;68;97;78;0;300;Oceania
Finland;2;11;0;0;6;3;7;2;6;37;Europe
France;9;16;5;2;53;92;68;47;8;300;Europe
French Guiana;8;8;7;3;30;0;0;18;0;74;South America
French Polynesia;0;35;3;0;28;31;31;48;0;176;Oceania
French Southern and Antarctic Lands;3;13;4;0;7;0;0;1;0;28;Africa
Gabon;18;7;7;3;72;2;2;173;0;284;Africa
Gambia;10;14;6;0;35;2;0;6;0;73;Africa
Georgia;9;14;7;1;11;4;11;63;1;121;Asia
Germany;5;11;0;0;24;31;30;36;7;144;Europe
Ghana;21;23;8;11;58;2;3;119;0;245;Africa
Gibraltar;3;6;0;0;18;3;2;1;0;33;Europe
Greece;10;17;10;5;80;178;130;72;1;503;Europe
Greenland;9;6;0;0;9;0;0;1;0;25;Europe
Grenada;3;2;7;1;29;0;10;3;0;55;North & Central America
Guadeloupe;4;5;9;3;31;1;15;10;0;78;North & Central America
Guam;3;14;5;0;14;6;54;5;0;101;Oceania
Guatemala;15;17;32;77;41;2;11;120;0;315;North & Central America
Guernsey;0;0;0;0;6;0;0;0;0;6;Europe
Guinea;30;20;9;5;76;3;5;70;0;218;Africa
Guinea-Bissau;14;12;8;0;41;2;0;6;0;83;Africa
Guyana;11;16;6;9;33;0;1;30;0;106;South America
Haiti;4;17;54;49;30;0;14;93;0;261;North & Central America
Heard Island;1;10;0;0;1;0;0;0;0;12;Africa
Vatican;1;0;0;0;0;0;0;0;0;1;Europe
Honduras;8;14;40;55;45;0;21;134;0;317;North & Central America
Hong Kong;4;21;5;5;15;1;7;10;0;68;Asia
Hungary;3;13;1;0;9;8;26;43;2;105;Europe
Iceland;6;7;0;0;16;0;0;0;0;29;Europe
India;93;93;54;75;227;7;128;396;0;1073;Asia
Indonesia;191;160;37;29;166;6;285;458;0;1332;Asia
Iran;18;28;15;4;47;2;22;7;0;143;Asia
Iraq;13;17;3;1;19;1;16;2;0;72;Asia
Ireland;5;9;1;0;28;4;2;3;2;54;Europe
Isle of Man;0;0;0;0;2;0;0;0;0;2;Europe
Israel;15;18;11;2;50;11;63;23;0;193;Asia
Italy;8;17;4;9;52;83;139;102;9;423;Europe
Jamaica;7;11;25;15;30;0;15;215;0;318;North & Central America
Japan;29;49;25;20;77;33;142;50;4;429;Asia
Jersey;0;0;0;0;6;1;0;0;0;7;Europe
Jordan;13;14;6;0;20;6;55;8;0;122;Asia
Kazakhstan;16;27;1;1;14;2;5;14;0;80;Asia
Kenya;30;44;12;11;74;20;71;243;0;505;Africa
Kiribati;2;6;2;0;14;1;80;0;0;105;Oceania
North Korea;10;29;2;1;20;0;3;17;0;82;Asia
South Korea;12;33;3;3;28;0;8;31;1;119;Asia
Kuwait;7;11;4;0;18;0;13;0;0;53;Asia
Kyrgyzstan;5;15;3;0;3;0;4;13;0;43;Asia
Laos;45;29;27;6;55;16;5;56;0;239;Asia
Latvia;1;11;0;0;6;4;8;0;1;31;Europe
Lebanon;10;11;8;0;28;9;9;24;0;99;Asia
Lesotho;4;8;0;0;1;0;3;4;0;20;Africa
Liberia;24;14;8;4;64;3;7;53;0;177;Africa
Libya;10;8;6;0;32;0;4;7;0;67;Africa
Liechtenstein;0;2;0;0;0;2;4;0;0;8;Europe
Lithuania;2;10;0;0;6;3;5;1;1;28;Europe
Luxembourg;0;3;0;0;1;5;2;0;0;11;Europe
Macao;0;4;1;0;9;0;1;0;0;15;Asia
Macedonia;6;13;2;0;13;71;15;4;1;125;Europe
Madagascar;121;37;139;145;111;35;159;1111;0;1858;Africa
Malawi;10;19;4;5;36;7;7;34;0;122;Africa
Malaysia;71;63;56;31;87;37;228;727;1;1301;Asia
Maldives;2;0;3;0;24;0;46;0;0;75;Asia
Mali;14;17;4;0;2;0;0;12;0;49;Africa
Malta;2;5;1;0;22;3;2;4;0;39;Europe
Marshall Islands;1;4;4;0;18;1;72;0;0;100;Oceania
Martinique;1;6;8;2;26;2;0;9;0;54;North & Central America
Mauritania;18;19;6;0;45;2;1;0;0;91;Africa
Mauritius;7;12;11;0;21;29;91;91;0;262;Africa
Mayotte;2;3;7;0;8;0;70;3;0;93;Africa
Mexico;96;71;98;219;181;8;103;484;1;1261;North & Central America
Micronesia;5;12;7;0;25;3;111;5;0;168;Oceania
Moldova;4;11;2;0;8;2;4;2;0;33;Asia
Monaco;3;0;0;0;15;1;2;1;0;22;Europe
Mongolia;11;24;0;0;2;0;3;0;0;40;Asia
Montenegro;6;13;4;1;32;22;20;3;0;101;Europe
Montserrat;2;4;4;1;30;0;11;6;0;58;North & Central America
Morocco;18;18;13;2;54;37;32;52;2;228;Africa
Mozambique;17;30;14;5;72;0;64;145;0;347;Africa
Myanmar;49;56;32;3;53;3;74;61;0;331;Asia
Namibia;15;32;6;0;33;2;2;27;0;117;Africa
Nauru;2;2;0;0;11;0;68;0;0;83;Oceania
Nepal;29;38;9;3;7;1;2;18;0;107;Asia
Netherlands;3;10;0;0;15;5;6;1;3;43;Europe
New Caledonia;9;17;54;0;37;28;97;350;0;592;Oceania
New Zealand;9;69;15;3;38;35;26;21;3;219;Oceania
Nicaragua;7;17;9;10;40;2;18;50;0;153;North & Central America
Niger;13;13;3;0;4;1;0;4;0;38;Africa
Nigeria;31;21;13;11;74;3;10;205;0;368;Africa
Niue;1;8;4;0;8;0;30;0;0;51;Oceania
Norfolk Island;1;11;2;0;6;12;11;2;0;45;Oceania
Northern Mariana Islands;3;17;4;0;14;4;53;6;0;101;Oceania
Norway;12;15;0;0;25;3;7;10;11;83;Europe
Oman;10;13;8;0;36;2;29;6;0;104;Asia
Pakistan;25;33;12;0;46;0;18;12;0;146;Asia
Palau;4;6;3;0;21;40;106;5;0;185;Oceania
Palestine;4;15;4;1;2;2;2;6;0;36;Asia
Panama;17;25;10;49;57;0;22;212;0;392;North & Central America
Papua New Guinea;41;39;13;11;61;2;176;179;2;524;Oceania
Paraguay;10;27;7;0;0;0;0;20;0;64;South America
Peru;53;119;23;138;52;4;4;328;0;721;South America
Philippines;38;93;39;27;91;3;235;254;0;780;Asia
Pitcairn Islands;0;10;0;0;9;5;11;7;0;42;Oceania
Poland;4;11;0;0;8;7;21;11;3;65;Europe
Portugal;13;15;5;1;67;86;118;101;4;410;Europe
Puerto Rico;2;11;16;14;32;0;0;64;0;139;North & Central America
Qatar;4;9;3;0;17;0;13;0;0;46;Asia
Reunion;4;7;0;0;14;17;72;18;0;132;Africa
Romania;9;17;2;0;22;25;43;7;0;125;Europe
Russia;34;57;9;0;39;8;31;56;5;239;Asia
Rwanda;24;20;0;2;7;0;4;41;0;98;Africa
Saint Barthelemy;1;0;4;0;20;0;11;2;0;38;North & Central America
Saint Helena;3;21;2;0;14;1;67;44;1;153;Africa
Saint Kitts;2;3;6;1;30;0;10;2;0;54;North & Central America
Saint Lucia;2;7;7;0;30;0;11;7;0;64;North & Central America
Saint Martin;2;1;8;0;31;0;10;3;0;55;North & Central America
Saint Pierre and Miquelon;4;9;0;0;3;0;0;0;0;16;North & Central America
Saint Vincent;2;4;8;1;29;0;10;6;0;60;North & Central America
Samoa;2;6;5;0;16;1;62;2;0;94;Oceania
San Marino;0;0;0;0;0;1;0;0;0;1;Europe
Sao Tome and Principe;4;12;5;3;25;3;1;49;0;102;Africa
Saudi Arabia;11;18;3;0;41;1;58;4;0;136;Asia
Senegal;19;19;9;0;58;12;1;14;0;132;Africa
Serbia;6;13;1;0;15;8;27;6;1;77;Europe
Seychelles;6;13;11;6;24;37;283;61;0;441;Africa
Sierra Leone;22;16;9;3;57;5;3;72;0;187;Africa
Singapore;14;22;6;0;29;0;173;62;0;306;Asia
Sint Maarten;2;1;8;0;31;0;10;3;0;55;North & Central America
Slovakia;4;12;0;0;5;7;25;25;3;81;Europe
Slovenia;6;10;2;2;33;32;51;7;4;147;Europe
Solomon Islands;19;24;6;2;24;2;148;16;0;241;Oceania
Somalia;16;21;6;0;31;2;60;49;0;185;Africa
South Africa;30;54;20;16;121;22;186;153;0;602;Africa
South Sandwich Islands;3;6;0;0;0;0;0;0;0;9;Africa
South Sudan;14;21;4;0;0;0;1;17;0;57;Africa
Spain;17;19;20;6;83;164;124;247;6;686;Europe
Sri Lanka;30;16;12;56;57;0;130;297;0;598;Asia
Sudan;16;26;6;0;32;0;50;17;0;147;Africa
Suriname;9;9;6;1;32;0;1;27;0;85;South America
Sweden;1;11;0;0;15;4;12;5;10;58;Europe
Switzerland;3;9;0;1;9;10;37;4;6;79;Europe
Syria;14;17;9;0;51;9;13;26;0;139;Asia
Taiwan;12;24;9;10;73;1;127;85;1;342;Asia
Tajikistan;7;15;5;0;5;0;3;12;0;47;Asia
Tanzania;41;49;34;61;179;11;136;644;0;1155;Africa
Thailand;59;62;37;7;106;15;196;159;0;641;Asia
Timor-Leste;5;6;2;0;13;0;1;2;0;29;Asia
Togo;13;13;6;2;38;2;1;13;0;88;Africa
Tokelau;0;1;3;0;10;0;35;0;0;49;Oceania
Tonga;2;5;5;0;16;4;43;5;0;80;Oceania
Trinidad and Tobago;2;5;7;8;37;0;10;50;0;119;North & Central America
Tunisia;14;11;6;1;39;7;13;9;0;100;Africa
Turkey;19;20;21;10;131;45;40;113;2;401;Asia
Turkmenistan;10;19;6;0;13;1;6;4;0;59;Asia
Turks and Caicos Islands;2;4;7;0;30;0;10;9;0;62;North & Central America
Tuvalu;2;1;3;0;13;1;77;0;0;97;Oceania
Uganda;31;30;4;2;60;14;16;64;0;221;Africa
Ukraine;11;17;1;0;24;9;29;22;1;114;Asia
United Arab Emirates;8;13;4;0;20;0;15;0;0;60;Asia
UK;5;11;1;0;48;7;13;42;6;133;Europe
USA;40;91;37;56;251;311;269;510;24;1589;North & Central America
United States Minor Outlying Islands;0;11;2;0;10;0;47;0;0;70;Oceania
Uruguay;10;22;6;5;45;0;2;22;0;112;South America
Uzbekistan;10;19;7;0;7;1;2;16;0;62;Asia
Vanuatu;8;8;4;0;18;3;88;10;0;139;Oceania
Venezuela;35;52;25;73;45;1;25;86;0;342;South America
Vietnam;56;52;73;45;83;30;122;231;0;692;Asia
Virgin Islands, British;1;3;14;2;31;0;10;20;0;81;North & Central America
Virgin Islands, US;1;3;14;2;29;0;0;17;0;66;North & Central America
Wallis and Futuna;0;9;2;0;12;0;64;1;0;88;Oceania
Western Sahara;10;5;1;0;33;2;1;0;0;52;Africa
Yemen;11;16;7;1;40;2;66;163;0;306;Asia
Zambia;13;20;2;0;20;12;2;23;0;92;Africa
Zimbabwe;10;19;4;7;3;0;7;52;0;102;Africa
